Msg;Indice;Arquivo;Entregadores;Mutation;Cross;Fitness
Concluido;5;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;6;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;7;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;8;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;9;Turisticos;1;Displacement;SubRouteInsertion;71360
Concluido;0;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;1;Uninoves;2;Swap;SubRouteInsertion;152747
Concluido;2;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;3;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;4;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;5;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;6;Uninoves;2;Swap;SubRouteInsertion;152747
Concluido;7;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;8;Uninoves;2;Swap;SubRouteInsertion;152151
Concluido;9;Uninoves;2;Swap;SubRouteInsertion;152747
Concluido;0;Uninoves;2;Inversion;SubRouteInsertion;152747
Concluido;1;Uninoves;2;Inversion;SubRouteInsertion;152747
Concluido;2;Uninoves;2;Inversion;SubRouteInsertion;152151
Concluido;3;Uninoves;2;Inversion;SubRouteInsertion;152151
Concluido;4;Uninoves;2;Inversion;SubRouteInsertion;152151
Concluido;5;Uninoves;2;Inversion;SubRouteInsertion;152151
Concluido;6;Uninoves;2;Inversion;SubRouteInsertion;158190
Concluido;7;Uninoves;2;Inversion;SubRouteInsertion;152747
Concluido;8;Uninoves;2;Inversion;SubRouteInsertion;152747
Concluido;9;Uninoves;2;Inversion;SubRouteInsertion;152747
Concluido;0;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;1;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;2;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;3;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;4;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;5;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;6;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;7;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;8;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;9;Uninoves;2;Insertion;SubRouteInsertion;152151
Concluido;0;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;1;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;2;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;3;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;4;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;5;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;6;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;7;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;8;Uninoves;2;Displacement;SubRouteInsertion;152151
Concluido;9;Uninoves;2;Displacement;SubRouteInsertion;152151
